,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Pretender,"Official HIGE DANdism",139191,https://open.spotify.com/track/58dxGXavrcagRqA58fNB0Z
2,宿命,"Official HIGE DANdism",102848,https://open.spotify.com/track/2yozZfRYHP7Elsymghu5t3
3,イエスタデイ,"Official HIGE DANdism",94157,https://open.spotify.com/track/3S3DDZrPOYTirleXRyHnNM
4,Hakujitsu,"King Gnu",82304,https://open.spotify.com/track/0mNO3xUzjsI17GXO1DRFCH
5,ノーダウト,"Official HIGE DANdism",77901,https://open.spotify.com/track/5DMEvbg3gUmiR5HIBWdveV
6,マリーゴールド,Aimyon,70459,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7
7,115万キロのフィルム,"Official HIGE DANdism",65210,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7
8,Machigaisagashi,"Masaki Suda",63646,https://open.spotify.com/track/4Jj31lihp5Nvdi4lFRjrqc
9,高嶺の花子さん,"back number",54548,https://open.spotify.com/track/2jdbZGFp8KVTuk0YxDNL4l
10,"Stand By You","Official HIGE DANdism",51180,https://open.spotify.com/track/7MhJmtlNl6R0oppdG59CaI
11,クリスマスソング,"back number",50519,https://open.spotify.com/track/5P8ZvBQoCrujjNcLAxO3Su
12,君はロックを聴かない,Aimyon,49378,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM
13,"Sayonara Elegy","Masaki Suda",46463,https://open.spotify.com/track/0QKmcZNAST4GytJYmkN05D
14,HANABI,Mr.Children,42760,https://open.spotify.com/track/77lmDcPPyY6kK907gdgC6i
15,Umbrella,"King Gnu",42648,https://open.spotify.com/track/1NkiR42rILTQYYEGs7izYv
16,ハルノヒ,Aimyon,41940,https://open.spotify.com/track/7GYGVDPbi0zQUBIkuOPAY0
17,Hikoutei,"King Gnu",40842,https://open.spotify.com/track/68KMKHen3fHDgD8z1aBWCK
18,今夜このまま,Aimyon,40783,https://open.spotify.com/track/6kKvmT4i0Dercz6f3kftg3
19,366日,HY,40097,https://open.spotify.com/track/22aZD7yaGYfhgCYazL4nbc
20,ハッピーエンド,"back number",38589,https://open.spotify.com/track/0ssEfLe9aqPhMmLXKqBw6J
21,ただ君に晴れ,ヨルシカ,38486,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz
22,青と夏,"Mrs. GREEN APPLE",38011,https://open.spotify.com/track/5BC6kr6etk2Y9J62AyI4i3
23,小さな恋のうた,MONGOL800,36879,https://open.spotify.com/track/7swIKcU4tFRk4iFJpi12Fg
24,空の青さを知る人よ,Aimyon,36475,https://open.spotify.com/track/3u0e8pyoVc7l2u3T5thohY
25,愛をこめて花束を,Superfly,35121,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ
26,"Walking with you",Novelbright,34731,https://open.spotify.com/track/7tGDXCPLpAScEwmqab9YZd
27,奏(かなで),"Sukima Switch",33733,https://open.spotify.com/track/5RbMlPFL4gVyEHW2lEOuzG
28,ワタリドリ,[ALEXANDROS],33716,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o
29,ひまわりの約束,"Motohiro Hata",33665,https://open.spotify.com/track/45jGOHwYKgsRYbAJ8DR61d
30,"Wherever you are","ONE OK ROCK",32950,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm
31,愛唄,GReeeeN,32212,https://open.spotify.com/track/7iXHLtPosbHvglVSJ4rxLq
32,"Turning Up",ARASHI,32119,https://open.spotify.com/track/4zdQmfTLWgGd5mAX4MUIaX
33,点描の唄,"Mrs. GREEN APPLE",31681,https://open.spotify.com/track/1sIIlVrnPhrvmTrHtzM7tV
34,Gurenge,LiSA,31672,https://open.spotify.com/track/23DbzwNJSLo7nkSWjODMvY
35,打上花火,DAOKO×米津玄師,30582,https://open.spotify.com/track/4IouQaO9GkaHC7AtMErdSa
36,ロマンチシズム,"Mrs. GREEN APPLE",30217,https://open.spotify.com/track/0JcI7OdALbpSFkyKoufRYs
37,Paprika,Foorin,29596,https://open.spotify.com/track/0bdYJCO9clK9ew61Z7GqMf
38,トリコ,Nissy,29457,https://open.spotify.com/track/7H5uStZMOGpcVw7eW0eyTi
39,Memories,"Maroon 5",29243,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
40,"Love so Sweet",ARASHI,28544,https://open.spotify.com/track/10G6iBGzoMi9qXgDV9qyBy
41,ヒロイン,"back number",28449,https://open.spotify.com/track/3hBAYbAECEix9raaTq8S3H
42,新宝島,Sakanaction,28285,https://open.spotify.com/track/6ODZT1FGTE2q4two05giS1
43,"Shape of You","Ed Sheeran",28047,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
44,愛を伝えたいだとか,Aimyon,27801,https://open.spotify.com/track/0N8Xztr4pBHJ7V0moJWhbO
45,鱗(うろこ),"Motohiro Hata",27429,https://open.spotify.com/track/4IubwxgmXeZtDtYjTaT9gN
46,インフェルノ,"Mrs. GREEN APPLE",27149,https://open.spotify.com/track/2vOAHp8PBBFYqvQUWSoITY
47,"everything i wanted","Billie Eilish",27133,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
48,丸ノ内サディスティック,"Sheena Ringo",26627,https://open.spotify.com/track/1mWN1USPKg632qQXG9sfDL
49,"Don't Start Now","Dua Lipa",26141,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
50,"bad guy","Billie Eilish",26094,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
51,Happiness,ARASHI,24945,https://open.spotify.com/track/0Ns63lt28epRgED3Tnhmth
52,ビンテージ,"Official HIGE DANdism",24068,https://open.spotify.com/track/0U9vBvoG3LN1PnuVl47E3W
53,チェリー,SPITZ,23869,https://open.spotify.com/track/1ihCiJaXRl4f6Sy4LJov5z
54,貴方解剖純愛歌〜死ね〜,Aimyon,23789,https://open.spotify.com/track/2H3bOGOE50qEo5wAYoJiwL
55,花束,"back number",23070,https://open.spotify.com/track/3QIAwtEEDOrv0g5NKCGrXZ
56,バッドフォーミー,"Official HIGE DANdism",22644,https://open.spotify.com/track/6rH3dc5bGzqrJv6ZARFfJX
57,"No Regret",wacci,22069,https://open.spotify.com/track/5TIMNeqGc26Ohw0yfcAfGB
58,"10,000 Hours (with Justin Bieber)","Dan + Shay",21198,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
59,君に届け,flumpool,21197,https://open.spotify.com/track/0kA7SWxWPYqSyIbMl51X5b
60,Story,AI,20967,https://open.spotify.com/track/0V2axJ946WH1vt9t5SGMLV
